date,prob_up,actual_up,next_return,window
2019-06-17,0.34913865,1,0.0003799860209863,2
2019-06-19,0.24480134,1,0.0022570461265944,2
2019-06-20,0.53445154,0,0.0095547521805836,2
2019-06-21,0.6834553,0,-0.0014538163675881,2
2019-06-24,0.47900257,0,-0.0012244705752503,2
2019-06-25,0.60097635,0,-0.0098078880932902,2
2019-06-26,0.5609803,1,-0.0009975017492597,2
2019-06-28,0.81768054,1,0.0051455044800066,2
2019-07-01,0.78803027,1,0.0090784383941862,2
2019-07-03,0.28279808,0,0.0079949717329608,2
2019-07-05,0.09047783,0,-0.001137599503495,2
2019-07-08,0.44151756,1,-0.0054945511618864,2
2019-07-10,0.5031051,1,0.0047778558709097,2
2019-07-12,0.86148405,1,0.0044769000001456,2
2019-07-15,0.9033299,0,0.0003324898067678,2
2019-07-17,0.84718704,0,-0.006804736175996,2
2019-07-19,0.4513256,1,-0.0055547185829494,2
2019-07-22,0.11944955,1,0.002456433167894,2
2019-07-23,0.48060414,1,0.0071500412640876,2
2019-07-24,0.17075428,0,0.0046995587362161,2
2019-07-25,0.29494745,1,-0.0047772173948629,2
2019-07-26,0.06390824,0,0.0067002960899984,2
2019-07-30,0.10609266,0,-0.0024546142667198,2
2019-08-01,0.10853345,0,-0.008708004753038,2
2019-08-02,0.21018502,0,-0.0075291818043522,2
2019-08-05,0.050286535,1,-0.0300730104949435,2
2019-08-06,0.07712231,1,0.0140224391151912,2
2019-08-07,0.13353665,1,0.0005910056029054,2
2019-08-08,0.21875255,0,0.019620063742944,2
2019-08-09,0.22640765,0,-0.0068117473871975,2
2019-08-12,0.5944364,1,-0.0121731325728602,2
2019-08-13,0.5914269,0,0.0155515426679748,2
2019-08-14,0.8231693,1,-0.0295676725222053,2
2019-08-15,0.44851378,1,0.0026417441627879,2
2019-08-19,0.8725032,0,0.0120481312485574,2
2019-08-20,0.9548603,1,-0.0076627451807831,2
2019-08-21,0.377838,0,0.0081357285991938,2
2019-08-22,0.43698093,0,-0.0003079979161138,2
2019-08-23,0.95369786,1,-0.0256873955299368,2
2019-08-26,0.7799105,0,0.0110581299997833,2
2019-08-27,0.9779376,1,-0.0039233725430035,2
2019-08-28,0.7732791,1,0.0070415556837841,2
2019-08-29,0.6962044,0,0.0127726234453116,2
2019-08-30,0.9601515,0,-0.0004437464066623,2
2019-09-03,0.11697421,1,-0.0058472607729063,2
2019-09-04,0.9811844,1,0.0113500716528041,2
2019-09-05,0.48426124,1,0.0128553648612275,2
2019-09-06,0.49254343,1,0.0007724885567463,2
2019-09-09,0.24390517,0,0.0005033102065574,2
2019-09-10,0.82263255,1,-0.0002348348826365,2
2019-09-11,0.50884223,1,0.0071110177597786,2
2019-09-12,0.9500902,0,0.0034638622315088,2
2019-09-13,0.802707,0,-0.0006637894298821,2
2019-09-16,0.77697676,1,-0.0030890162176413,2
2019-09-17,0.835943,1,0.0025319186931453,2
2019-09-18,0.3958567,0,0.0005984348455732,2
2019-09-19,0.19840787,0,-6.657669535103938e-05,2
2019-09-20,0.8994867,0,-0.0047248106223398,2
2019-09-23,0.57370347,0,-0.0002345876894823,2
2019-09-24,0.16556105,1,-0.0078468245072642,2
2019-09-25,0.28751633,0,0.0059147179882312,2
2019-09-26,0.16585317,0,-0.0020830088967653,2
2019-09-27,0.36113656,1,-0.0053871985780941,2
2019-09-30,0.45307472,0,0.0046376392500435,2
2019-10-01,0.4054153,0,-0.0118947549741191,2
